#########################################################################################################
# Mass-radius curves for irradiated ocean planets (0.2 M_Earth to 20 M_Earth)
# 
# x_core' : core to core+mantle mass fraction in the planet, i.e. the core mass fraction without taking into account H2O in hydrosphere or atmosphere
# x_H2O : total water mass fraction in the planet (taking into account the mass of H2O in the atmosphere)
# T_irr : irradiation temperature (in K)
# T_b : temperature at the boundary between the interior and the atmosphere model (in K)
# M_b : mass of the interior part of the planet (in units of M_Earth), obtained by integrating the density profile
# M_a : mass of the atmosphere of the planet (in units of M_Earth), obtained by integrating the density profile
#       the mass of the planet is thus M_p = M_b + M_a
# R_b : radius of the interior part of the planet (in units of R_Earth)
# R_a : thickness of the atmosphere (in units of R_Earth)
#       the radius of the planet is thus R_p = R_b + R_a
# errcode : integer indicating if the run succeeded or failed, based on the success or fail to interpolate the atmosphere properties in the final iteration of the interior model
#           value 0 : the interpolation succeeded
#           value 1 : atmosphere properties are extrapolated beyond the range of parameters
#           value 2 : extrapolation yields to unphysical results
#
# 2024 update:
# Added case x_H2O = 0 from Zeng+2016 models
#
#########################################################################################################

#  x_core'     x_H2O     T_irr       T_b              M_b              M_a              R_b              R_a   errcode
   0.00000   0.60000   400.000  2328.463  7.587104580e+00  1.325320677e-03  2.473516688e+00  7.983614275e-02         0
   0.00000   0.60000   400.000  2295.405  9.669302553e+00  1.262057072e-03  2.599209986e+00  6.774348948e-02         0
   0.00000   0.60000   400.000  2267.361  1.232058049e+01  1.199488081e-03  2.730425998e+00  5.761936687e-02         0
   0.00000   0.60000   400.000  2243.056  1.570011052e+01  1.139210598e-03  2.868439296e+00  4.911269457e-02         0
   0.00000   0.60000   400.000  2221.338  1.999127553e+01  1.077197079e-03  3.009846092e+00  4.185956509e-02         0

   0.00000   0.70000   400.000  2721.484  2.091037224e-01  3.857615512e-28  1.420223262e+00  1.217016240e+00         2
   0.00000   0.70000   400.000  2864.693  2.538859216e-01  4.085041941e-28  1.434147611e+00  1.106365164e+00         2
   0.00000   0.70000   400.000  3222.082  3.229948128e-01  2.640831532e-03  1.833376533e+00  1.454258467e+00         2
   0.00000   0.70000   400.000  4010.108  4.120757950e-01  6.994000260e-28  1.732114608e+00  2.512583311e+00         2
   0.00000   0.70000   400.000  3007.565  5.273833911e-01  3.752529882e-03  1.766157229e+00  9.888996856e-01         1
   0.00000   0.70000   400.000  2792.759  6.720763173e-01  3.520387955e-03  1.748408724e+00  6.866648897e-01         1
   0.00000   0.70000   400.000  2689.896  8.565464410e-01  3.321926200e-03  1.774827985e+00  5.213193114e-01         1
   0.00000   0.70000   400.000  2630.531  1.091309824e+00  2.995490027e-03  1.821533263e+00  4.051417170e-01         0
   0.00000   0.70000   400.000  2580.532  1.390914281e+00  2.602551349e-03  1.880655586e+00  3.174644171e-01         0
   0.00000   0.70000   400.000  2544.264  1.772490007e+00  2.322988237e-03  1.951656664e+00  2.557078942e-01         0
   0.00000   0.70000   400.000  2515.512  2.258212012e+00  2.107857449e-03  2.031236566e+00  2.094824803e-01         0
   0.00000   0.70000   400.000  2468.027  2.878125855e+00  1.931274361e-03  2.117933988e+00  1.716773616e-01         0
   0.00000   0.70000   400.000  2431.249  3.666901914e+00  1.786659514e-03  2.212115523e+00  1.424726960e-01         0
   0.00000   0.70000   400.000  2402.000  4.673312337e+00  1.672639010e-03  2.316796908e+00  1.195921998e-01         0
   0.00000   0.70000   400.000  2377.271  5.955373047e+00  1.571032454e-03  2.428056508e+00  1.009391853e-01         0
   0.00000   0.70000   400.000  2343.545  7.588081828e+00  1.478610528e-03  2.545911734e+00  8.508748171e-02         0
   0.00000   0.70000   400.000  2307.549  9.667203725e+00  1.392296997e-03  2.669810614e+00  7.175850173e-02         0
   0.00000   0.70000   400.000  2277.201  1.231524472e+01  1.317850456e-03  2.800084744e+00  6.080966690e-02         0
   0.00000   0.70000   400.000  2250.961  1.570045546e+01  1.260266754e-03  2.940150339e+00  5.182834837e-02         0
   0.00000   0.70000   400.000  2227.862  1.999443765e+01  1.200395308e-03  3.084476071e+00  4.421486195e-02         0

   0.00000   0.80000   400.000  3174.412  2.088837460e-01  4.134468979e-28  1.499065134e+00  1.318534233e+00         2
   0.00000   0.80000   400.000  2746.876  2.536197123e-01  4.326930734e-28  1.508567458e+00  1.119356414e+00         2
   0.00000   0.80000   400.000  3366.572  3.226852861e-01  2.915055529e-03  2.054095340e+00  1.734671715e+00         2
   0.00000   0.80000   400.000  3290.310  4.111402502e-01  3.042577942e-03  1.855739621e+00  1.096247440e+00         2
   0.00000   0.80000   400.000  4062.083  5.244342481e-01  8.748173657e-28  2.014076865e+00  2.269066637e+00         2
   0.00000   0.80000   400.000  2845.548  6.722768115e-01  3.941018445e-03  1.840474655e+00  7.634380348e-01         1
